"Plot Title: 8B_Langrivier"
"#","Date Time, GMT+02:00","Temp, °C (LGR S/N: 9867911)","Batt, V (LGR S/N: 9867911)","Rain (LGR S/N: 9867911)","Coupler Attached (LGR S/N: 9867911)","Host Connected (LGR S/N: 9867911)","Coupler Detached (LGR S/N: 9867911)","End Of File (LGR S/N: 9867911)"
78,2011/07/07 17:00:00,13.173,2.95,,,,,
79,2011/07/07 18:00:00,13.365,2.95,,,,,
80,2011/07/07 19:00:00,12.110,2.95,,,,,
81,2011/07/07 20:00:00,9.965,2.93,,,,,
82,2011/07/07 21:00:00,11.334,2.95,,,,,
83,2011/07/07 22:00:00,14.325,2.95,,,,,
84,2011/07/07 23:00:00,10.455,2.93,,,,,
85,2011/07/08 00:00:00,14.134,2.95,,,,,
86,2011/07/08 01:00:00,13.558,2.95,,,,,
87,2011/07/08 02:00:00,13.942,2.95,,,,,
88,2011/07/08 03:00:00,13.846,2.95,,,,,
89,2011/07/08 04:00:00,12.594,2.95,,,,,
90,2011/07/08 05:00:00,10.846,2.93,,,,,
91,2011/07/08 06:00:00,9.373,2.95,,,,,
92,2011/07/08 07:00:00,10.748,2.93,,,,,
93,2011/07/08 08:00:00,12.883,2.95,,,,,
94,2011/07/08 09:00:00,10.161,2.93,,,,,
95,2011/07/08 10:00:00,11.236,2.93,,,,,
96,2011/07/08 11:00:00,27.961,2.95,,,,,
97,2011/07/08 12:00:00,31.166,2.93,,,,,
98,2011/07/08 13:00:00,28.258,2.95,,,,,
99,2011/07/08 14:00:00,27.862,2.95,,,,,
100,2011/07/08 15:00:00,26.879,2.95,,,,,
101,2011/07/08 16:00:00,15.760,2.95,,,,,
102,2011/07/08 17:00:00,12.980,2.95,,,,,
103,2011/07/08 18:00:00,12.304,2.95,,,,,
104,2011/07/08 19:00:00,14.134,2.95,,,,,
105,2011/07/08 20:00:00,13.076,2.95,,,,,
106,2011/07/08 21:00:00,13.846,2.95,,,,,
107,2011/07/08 22:00:00,11.916,2.95,,,,,
108,2011/07/08 23:00:00,11.139,2.95,,,,,
109,2011/07/09 00:00:00,10.651,2.95,,,,,
110,2011/07/09 01:00:00,10.944,2.95,,,,,
111,2011/07/09 02:00:00,10.748,2.93,,,,,
112,2011/07/09 03:00:00,10.553,2.93,,,,,
113,2011/07/09 04:00:00,10.846,2.93,,,,,
114,2011/07/09 05:00:00,11.236,2.95,,,,,
115,2011/07/09 06:00:00,12.497,2.95,,,,,
116,2011/07/09 07:00:00,10.846,2.93,,,,,
117,2011/07/09 08:00:00,10.944,2.93,,,,,
118,2011/07/09 09:00:00,11.722,2.93,,,,,
119,2011/07/09 10:00:00,13.750,2.95,,,,,
120,2011/07/09 11:00:00,27.468,2.95,,,,,
121,2011/07/09 12:00:00,29.953,2.93,,,,,
122,2011/07/09 13:00:00,30.054,2.95,,,,,
123,2011/07/09 14:00:00,29.452,2.97,,,,,
124,2011/07/09 15:00:00,28.060,2.95,,,,,
125,2011/07/09 16:00:00,18.426,2.97,,,,,
126,2011/07/09 17:00:00,15.569,2.95,,,,,
127,2011/07/09 18:00:00,15.282,2.95,,,,,
128,2011/07/09 19:00:00,14.996,2.97,,,,,
129,2011/07/09 20:00:00,12.980,2.95,,,,,
130,2011/07/09 21:00:00,12.110,2.95,,,,,
131,2011/07/09 22:00:00,11.722,2.95,,,,,
132,2011/07/09 23:00:00,12.883,2.95,,,,,
133,2011/07/10 00:00:00,13.173,2.95,,,,,
134,2011/07/10 01:00:00,12.594,2.95,,,,,
135,2011/07/10 02:00:00,12.401,2.95,,,,,
136,2011/07/10 03:00:00,12.013,2.95,,,,,
137,2011/07/10 04:00:00,12.013,2.95,,,,,
138,2011/07/10 05:00:00,11.139,2.95,,,,,
139,2011/07/10 06:00:00,10.455,2.93,,,,,
140,2011/07/10 07:00:00,10.651,2.93,,,,,
141,2011/07/10 08:00:00,10.063,2.93,,,,,
142,2011/07/10 09:00:00,11.431,2.95,,,,,
143,2011/07/10 10:00:00,13.076,2.95,,,,,
144,2011/07/10 11:00:00,30.356,2.93,,,,,
145,2011/07/10 12:00:00,31.268,2.95,,,,,
146,2011/07/10 13:00:00,29.853,2.95,,,,,
147,2011/07/10 14:00:00,29.352,2.97,,,,,
148,2011/07/10 15:00:00,27.173,2.95,,,,,
149,2011/07/10 16:00:00,17.760,2.97,,,,,
150,2011/07/10 17:00:00,14.613,2.97,,,,,
151,2011/07/10 18:00:00,13.365,2.97,,,,,
152,2011/07/10 19:00:00,12.304,2.95,,,,,
153,2011/07/10 20:00:00,11.916,2.95,,,,,
154,2011/07/10 21:00:00,12.207,2.95,,,,,
155,2011/07/10 22:00:00,12.207,2.95,,,,,
156,2011/07/10 23:00:00,11.819,2.95,,,,,
157,2011/07/11 00:00:00,11.625,2.95,,,,,
158,2011/07/11 01:00:00,9.965,2.95,,,,,
159,2011/07/11 02:00:00,10.748,2.95,,,,,
160,2011/07/11 03:00:00,11.139,2.95,,,,,
161,2011/07/11 04:00:00,10.944,2.95,,,,,
162,2011/07/11 05:00:00,10.455,2.93,,,,,
163,2011/07/11 06:00:00,10.553,2.93,,,,,
164,2011/07/11 07:00:00,10.846,2.95,,,,,
165,2011/07/11 08:00:00,11.236,2.95,,,,,
166,2011/07/11 09:00:00,12.110,2.95,,,,,
167,2011/07/11 10:00:00,13.461,2.95,,,,,
168,2011/07/11 11:00:00,28.953,2.95,,,,,
169,2011/07/11 12:00:00,28.258,2.95,,,,,
170,2011/07/11 12:19:26,,,,Logged,Logged,,
171,2011/07/11 12:20:06,,,,,,Logged,
172,2011/07/11 13:00:00,28.655,2.95,,,,,
173,2011/07/11 14:00:00,26.097,2.95,,,,,
174,2011/07/11 15:00:00,25.416,2.95,,,,,
175,2011/07/11 16:00:00,22.525,2.95,,,,,
176,2011/07/11 17:00:00,18.521,2.97,,,,,
177,2011/07/11 18:00:00,13.942,2.97,,,,,
178,2011/07/11 19:00:00,13.173,2.95,,,,,
179,2011/07/11 20:00:00,12.401,2.95,,,,,
180,2011/07/11 21:00:00,12.304,2.95,,,,,
181,2011/07/11 22:00:00,12.883,2.95,,,,,
182,2011/07/11 23:00:00,12.690,2.95,,,,,
183,2011/07/12 00:00:00,12.110,2.95,,,,,
184,2011/07/12 01:00:00,10.259,2.95,,,,,
185,2011/07/12 02:00:00,8.382,2.95,,,,,
186,2011/07/12 03:00:00,10.944,2.95,,,,,
187,2011/07/12 04:00:00,11.722,2.95,,,,,
188,2011/07/12 05:00:00,11.916,2.95,,,,,
189,2011/07/12 06:00:00,10.748,2.93,,,,,
190,2011/07/12 07:00:00,10.063,2.93,,,,,
191,2011/07/12 08:00:00,10.553,2.93,,,,,
192,2011/07/12 09:00:00,11.722,2.95,,,,,
193,2011/07/12 10:00:00,13.173,2.95,,,,,
194,2011/07/12 11:00:00,31.574,2.93,,,,,
195,2011/07/12 12:00:00,32.291,2.95,,,,,
196,2011/07/12 13:00:00,31.370,2.95,,,,,
197,2011/07/12 14:00:00,29.853,2.95,,,,,
198,2011/07/12 15:00:00,27.665,2.97,,,,,
199,2011/07/12 16:00:00,18.711,2.97,,,,,
200,2011/07/12 17:00:00,15.187,2.95,,,,,
201,2011/07/12 18:00:00,12.883,2.97,,,,,
202,2011/07/12 19:00:00,12.013,2.95,,,,,
203,2011/07/12 20:00:00,12.497,2.95,,,,,
204,2011/07/12 21:00:00,12.594,2.95,,,,,
205,2011/07/12 22:00:00,12.497,2.95,,,,,
206,2011/07/12 23:00:00,12.304,2.95,,,,,
207,2011/07/13 00:00:00,12.013,2.95,,,,,
208,2011/07/13 01:00:00,11.819,2.95,,,,,
209,2011/07/13 02:00:00,11.722,2.95,,,,,
210,2011/07/13 03:00:00,11.916,2.95,,,,,
211,2011/07/13 04:00:00,10.651,2.95,,,,,
212,2011/07/13 05:00:00,9.571,2.95,,,,,
213,2011/07/13 06:00:00,10.259,2.93,,,,,
214,2011/07/13 07:00:00,9.275,2.95,,,,,
215,2011/07/13 08:00:00,9.077,2.95,,,,,
216,2011/07/13 09:00:00,10.748,2.93,,,,,
217,2011/07/13 10:00:00,11.916,2.95,,,,,
218,2011/07/13 11:00:00,29.752,2.93,,,,,
219,2011/07/13 12:00:00,32.188,2.95,,,,,
220,2011/07/13 13:00:00,30.760,2.95,,,,,
221,2011/07/13 14:00:00,29.452,2.97,,,,,
222,2011/07/13 15:00:00,27.370,2.95,,,,,
223,2011/07/13 16:00:00,18.140,2.97,,,,,
224,2011/07/13 17:00:00,14.230,2.97,,,,,
225,2011/07/13 18:00:00,12.207,2.95,,,,,
226,2011/07/13 19:00:00,11.916,2.95,,,,,
227,2011/07/13 20:00:00,11.819,2.95,,,,,
228,2011/07/13 21:00:00,12.497,2.95,,,,,
229,2011/07/13 22:00:00,12.980,2.95,,,,,
230,2011/07/13 23:00:00,12.787,2.95,,,,,
231,2011/07/14 00:00:00,13.365,2.95,,,,,
232,2011/07/14 01:00:00,13.654,2.95,,,,,
233,2011/07/14 02:00:00,12.980,2.95,,,,,
234,2011/07/14 03:00:00,11.431,2.95,,,,,
235,2011/07/14 04:00:00,10.846,2.95,,,,,
236,2011/07/14 05:00:00,9.866,2.93,,,,,
237,2011/07/14 06:00:00,10.651,2.95,,,,,
238,2011/07/14 07:00:00,11.041,2.95,,,,,
239,2011/07/14 08:00:00,10.748,2.95,,,,,
240,2011/07/14 09:00:00,11.236,2.95,,,,,
241,2011/07/14 10:00:00,12.304,2.95,,,,,
242,2011/07/14 11:00:00,29.953,2.93,,,,,
243,2011/07/14 12:00:00,31.472,2.95,,,,,
244,2011/07/14 13:00:00,30.862,2.95,,,,,
245,2011/07/14 14:00:00,29.152,2.97,,,,,
246,2011/07/14 15:00:00,28.357,2.97,,,,,
247,2011/07/14 16:00:00,18.711,2.97,,,,,
248,2011/07/14 17:00:00,14.804,2.97,,,,,
249,2011/07/14 18:00:00,13.750,2.97,,,,,
250,2011/07/14 19:00:00,14.230,2.97,,,,,
251,2011/07/14 20:00:00,14.038,2.97,,,,,
252,2011/07/14 21:00:00,15.378,2.95,,,,,
253,2011/07/14 22:00:00,14.325,2.97,,,,,
254,2011/07/14 23:00:00,13.173,2.95,,,,,
255,2011/07/15 00:00:00,13.461,2.95,,,,,
256,2011/07/15 01:00:00,11.819,2.95,,,,,
257,2011/07/15 02:00:00,11.916,2.95,,,,,
258,2011/07/15 03:00:00,11.236,2.95,,,,,
259,2011/07/15 04:00:00,11.819,2.95,,,,,
260,2011/07/15 05:00:00,12.013,2.95,,,,,
261,2011/07/15 06:00:00,11.916,2.95,,,,,
262,2011/07/15 07:00:00,11.916,2.95,,,,,
263,2011/07/15 08:00:00,11.236,2.95,,,,,
264,2011/07/15 09:00:00,12.207,2.95,,,,,
265,2011/07/15 10:00:00,12.787,2.95,,,,,
266,2011/07/15 11:00:00,31.574,2.95,,,,,
267,2011/07/15 12:00:00,32.394,2.95,,,,,
268,2011/07/15 13:00:00,31.166,2.95,,,,,
269,2011/07/15 14:00:00,30.862,2.95,,,,,
270,2011/07/15 15:00:00,28.456,2.97,,,,,
271,2011/07/15 16:00:00,19.282,2.97,,,,,
272,2011/07/15 17:00:00,15.378,2.95,,,,,
273,2011/07/15 18:00:00,13.269,2.97,,,,,
274,2011/07/15 19:00:00,12.401,2.95,,,,,
275,2011/07/15 20:00:00,12.013,2.95,,,,,
276,2011/07/15 21:00:00,11.819,2.95,,,,,
277,2011/07/15 22:00:00,12.013,2.95,,,,,
278,2011/07/15 23:00:00,12.207,2.95,,,,,
279,2011/07/16 00:00:00,12.013,2.95,,,,,
280,2011/07/16 01:00:00,12.401,2.95,,,,,
281,2011/07/16 02:00:00,12.497,2.95,,,,,
282,2011/07/16 03:00:00,12.110,2.95,,,,,
283,2011/07/16 04:00:00,12.013,2.95,,,,,
284,2011/07/16 05:00:00,11.722,2.95,,,,,
285,2011/07/16 06:00:00,11.625,2.95,,,,,
286,2011/07/16 07:00:00,11.431,2.95,,,,,
287,2011/07/16 08:00:00,11.431,2.95,,,,,
288,2011/07/16 09:00:00,13.558,2.95,,,,,
289,2011/07/16 10:00:00,14.804,2.95,,,,,
290,2011/07/16 11:00:00,33.326,2.95,,,,,
291,2011/07/16 12:00:00,32.807,2.95,,,,,
292,2011/07/16 13:00:00,28.357,2.97,,,,,
293,2011/07/16 14:00:00,29.452,2.97,,,,,
294,2011/07/16 15:00:00,28.953,2.97,,,,,
295,2011/07/16 16:00:00,20.710,2.95,,,,,
296,2011/07/16 17:00:00,16.046,2.95,,,,,
297,2011/07/16 18:00:00,13.942,2.97,,,,,
298,2011/07/16 19:00:00,13.076,2.97,,,,,
299,2011/07/16 20:00:00,14.038,2.97,,,,,
300,2011/07/16 21:00:00,13.750,2.97,,,,,
301,2011/07/16 22:00:00,14.038,2.97,,,,,
302,2011/07/16 23:00:00,13.558,2.97,,,,,
303,2011/07/17 00:00:00,11.916,2.95,,,,,
304,2011/07/17 01:00:00,11.916,2.95,,,,,
305,2011/07/17 02:00:00,11.431,2.95,,,,,
306,2011/07/17 03:00:00,11.236,2.95,,,,,
307,2011/07/17 04:00:00,11.528,2.95,,,,,
308,2011/07/17 05:00:00,11.819,2.95,,,,,
309,2011/07/17 06:00:00,7.983,2.95,,,,,
310,2011/07/17 07:00:00,9.077,2.95,,,,,
311,2011/07/17 08:00:00,10.455,2.95,,,,,
312,2011/07/17 09:00:00,11.431,2.95,,,,,
313,2011/07/17 10:00:00,12.304,2.95,,,,,
314,2011/07/17 11:00:00,30.356,2.93,,,,,
315,2011/07/17 12:00:00,31.778,2.95,,,,,
316,2011/07/17 13:00:00,28.953,2.97,,,,,
317,2011/07/17 14:00:00,28.456,2.97,,,,,
318,2011/07/17 15:00:00,28.357,2.97,,,,,
319,2011/07/17 16:00:00,19.092,2.97,,,,,
320,2011/07/17 17:00:00,13.654,2.97,,,,,
321,2011/07/17 18:00:00,11.916,2.95,,,,,
322,2011/07/17 19:00:00,10.651,2.95,,,,,
323,2011/07/17 20:00:00,9.768,2.95,,,,,
324,2011/07/17 21:00:00,9.571,2.97,,,,,
325,2011/07/17 22:00:00,6.573,2.95,,,,,
326,2011/07/17 23:00:00,6.674,2.95,,,,,
327,2011/07/18 00:00:00,7.280,2.95,,,,,
328,2011/07/18 01:00:00,5.552,2.95,,,,,
329,2011/07/18 02:00:00,5.347,2.95,,,,,
330,2011/07/18 03:00:00,5.450,2.93,,,,,
331,2011/07/18 04:00:00,5.141,2.93,,,,,
332,2011/07/18 05:00:00,5.347,2.93,,,,,
333,2011/07/18 06:00:00,5.244,2.93,,,,,
334,2011/07/18 07:00:00,6.166,2.93,,,,,
335,2011/07/18 08:00:00,6.674,2.93,,,,,
336,2011/07/18 09:00:00,7.179,2.95,,,,,
337,2011/07/18 10:00:00,8.581,2.95,,,,,
338,2011/07/18 11:00:00,27.075,2.95,,,,,
339,2011/07/18 11:33:02,,,,Logged,,,
340,2011/07/18 11:33:04,,,,,Logged,,
341,2011/07/18 11:34:20,,,,,,Logged,
342,2011/07/18 12:00:00,26.585,2.95,,,,,
343,2011/07/18 13:00:00,26.977,2.95,,,,,
344,2011/07/18 14:00:00,26.781,2.95,,,,,
345,2011/07/18 15:00:00,24.835,2.97,,,,,
346,2011/07/18 16:00:00,19.282,2.97,,,,,
347,2011/07/18 17:00:00,12.980,2.95,,,,,
348,2011/07/18 18:00:00,10.063,2.95,,,,,
349,2011/07/18 19:00:00,8.182,2.95,,,,,
350,2011/07/18 20:00:00,7.481,2.95,,,,,
351,2011/07/18 21:00:00,6.877,2.95,,,,,
352,2011/07/18 22:00:00,6.877,2.95,,,,,
353,2011/07/18 23:00:00,6.573,2.95,,,,,
354,2011/07/19 00:00:00,5.141,2.93,,,,,
355,2011/07/19 01:00:00,5.037,2.93,,,,,
356,2011/07/19 02:00:00,4.415,2.95,,,,,
357,2011/07/19 03:00:00,4.623,2.95,,,,,
358,2011/07/19 04:00:00,4.831,2.93,,,,,
359,2011/07/19 05:00:00,5.141,2.93,,,,,
360,2011/07/19 06:00:00,4.623,2.95,,,,,
361,2011/07/19 07:00:00,4.519,2.95,,,,,
362,2011/07/19 08:00:00,4.934,2.93,,,,,
363,2011/07/19 09:00:00,5.141,2.93,,,,,
364,2011/07/19 10:00:00,6.370,2.93,,,,,
365,2011/07/19 11:00:00,19.092,2.95,,,,,
366,2011/07/19 12:00:00,23.196,2.95,,,,,
367,2011/07/19 13:00:00,24.545,2.95,,,,,
368,2011/07/19 14:00:00,24.545,2.95,,,,,
369,2011/07/19 15:00:00,25.319,2.93,,,,,
370,2011/07/19 16:00:00,19.187,2.95,,,,,
371,2011/07/19 17:00:00,15.187,2.95,,,,,
372,2011/07/19 18:00:00,10.944,2.95,,,,,
373,2011/07/19 19:00:00,8.680,2.95,,,,,
374,2011/07/19 20:00:00,11.431,2.95,,,,,
375,2011/07/19 21:00:00,11.528,2.95,,,,,
376,2011/07/19 22:00:00,12.110,2.95,,,,,
377,2011/07/19 23:00:00,11.916,2.95,,,,,
378,2011/07/20 00:00:00,11.431,2.93,,,,,
379,2011/07/20 01:00:00,12.207,2.95,,,,,
380,2011/07/20 02:00:00,12.401,2.95,,,,,
381,2011/07/20 03:00:00,12.401,2.95,,,,,
382,2011/07/20 04:00:00,11.528,2.93,,,,,
383,2011/07/20 05:00:00,11.236,2.93,,,,,
384,2011/07/20 06:00:00,10.846,2.93,,,,,
385,2011/07/20 07:00:00,11.236,2.93,,,,,
386,2011/07/20 08:00:00,11.431,2.93,,,,,
387,2011/07/20 09:00:00,12.304,2.93,,,,,
388,2011/07/20 10:00:00,13.076,2.95,,,,,
389,2011/07/20 11:00:00,24.641,2.95,,,,,
390,2011/07/20 12:00:00,24.158,2.95,,,,,
391,2011/07/20 13:00:00,26.488,2.95,,,,,
392,2011/07/20 14:00:00,27.665,2.95,,,,,
393,2011/07/20 15:00:00,26.390,2.95,,,,,
394,2011/07/20 16:00:00,18.426,2.95,,,,,
395,2011/07/20 17:00:00,12.787,2.95,,,,,
396,2011/07/20 18:00:00,10.846,2.95,,,,,
397,2011/07/20 19:00:00,9.176,2.95,,,,,
398,2011/07/20 20:00:00,8.182,2.95,,,,,
399,2011/07/20 21:00:00,7.882,2.95,,,,,
400,2011/07/20 22:00:00,7.882,2.95,,,,,
401,2011/07/20 23:00:00,7.682,2.95,,,,,
402,2011/07/21 00:00:00,7.582,2.95,,,,,
403,2011/07/21 01:00:00,7.280,2.95,,,,,
404,2011/07/21 02:00:00,6.877,2.93,,,,,
405,2011/07/21 03:00:00,6.775,2.93,,,,,
406,2011/07/21 04:00:00,6.877,2.93,,,,,
407,2011/07/21 05:00:00,6.471,2.93,,,,,
408,2011/07/21 06:00:00,6.674,2.93,,,,,
409,2011/07/21 07:00:00,6.471,2.93,,,,,
410,2011/07/21 08:00:00,6.370,2.93,,,,,
411,2011/07/21 09:00:00,6.978,2.93,,,,,
412,2011/07/21 10:00:00,7.782,2.93,,,,,
413,2011/07/21 11:00:00,23.677,2.95,,,,,
414,2011/07/21 12:00:00,26.488,2.93,,,,,
415,2011/07/21 13:00:00,26.292,2.95,,,,,
416,2011/07/21 14:00:00,25.416,2.95,,,,,
417,2011/07/21 15:00:00,24.448,2.95,,,,,
418,2011/07/21 16:00:00,19.377,2.95,,,,,
419,2011/07/21 17:00:00,12.883,2.95,,,,,
420,2011/07/21 18:00:00,13.173,2.95,,,,,
421,2011/07/21 19:00:00,9.275,2.95,,,,,
422,2011/07/21 20:00:00,8.282,2.95,,,,,
423,2011/07/21 21:00:00,8.481,2.95,,,,,
424,2011/07/21 22:00:00,8.779,2.95,,,,,
425,2011/07/21 23:00:00,7.682,2.95,,,,,
426,2011/07/22 00:00:00,6.064,2.93,,,,,
427,2011/07/22 01:00:00,5.552,2.93,,,,,
428,2011/07/22 02:00:00,8.978,2.95,,,,,
429,2011/07/22 03:00:00,5.860,2.93,,,,,
430,2011/07/22 04:00:00,8.680,2.95,,,,,
431,2011/07/22 05:00:00,5.141,2.93,,,,,
432,2011/07/22 06:00:00,9.275,2.95,,,,,
433,2011/07/22 07:00:00,10.748,2.93,,,,,
434,2011/07/22 08:00:00,11.041,2.93,,,,,
435,2011/07/22 09:00:00,11.528,2.93,,,,,
436,2011/07/22 10:00:00,11.528,2.93,,,,,
437,2011/07/22 11:00:00,20.424,2.93,,,,,
438,2011/07/22 12:00:00,20.329,2.93,,,,,
439,2011/07/22 13:00:00,20.519,2.93,,,,,
440,2011/07/22 14:00:00,20.424,2.93,,,,,
441,2011/07/22 15:00:00,19.662,2.93,,,,,
442,2011/07/22 16:00:00,15.664,2.93,,,,,
443,2011/07/22 17:00:00,12.787,2.95,,,,,
444,2011/07/22 18:00:00,11.819,2.93,,,,,
445,2011/07/22 19:00:00,11.041,2.93,,,,,
446,2011/07/22 20:00:00,10.553,2.93,,,,,
447,2011/07/22 21:00:00,10.161,2.93,,,,,
448,2011/07/22 22:00:00,10.259,2.93,,,,,
449,2011/07/22 23:00:00,10.259,2.93,,,,,
450,2011/07/23 00:00:00,10.553,2.93,,,,,
451,2011/07/23 01:00:00,10.748,2.93,,,,,
452,2011/07/23 02:00:00,10.748,2.93,,,,,
453,2011/07/23 03:00:00,11.041,2.93,,,,,
454,2011/07/23 04:00:00,10.944,2.93,,,,,
455,2011/07/23 05:00:00,10.846,2.93,,,,,
456,2011/07/23 06:00:00,11.041,2.93,,,,,
457,2011/07/23 07:00:00,11.041,2.93,,,,,
458,2011/07/23 08:00:00,11.236,2.93,,,,,
459,2011/07/23 09:00:00,11.916,2.93,,,,,
460,2011/07/23 10:00:00,13.365,2.93,,,,,
461,2011/07/23 11:00:00,16.618,2.93,,,,,
462,2011/07/23 12:00:00,17.189,2.93,,,,,
463,2011/07/23 13:00:00,18.711,2.95,,,,,
464,2011/07/23 14:00:00,19.092,2.95,,,,,
465,2011/07/23 15:00:00,18.616,2.95,,,,,
466,2011/07/23 16:00:00,15.664,2.93,,,,,
467,2011/07/23 17:00:00,13.076,2.95,,,,,
468,2011/07/23 18:00:00,12.883,2.93,,,,,
469,2011/07/23 19:00:00,12.110,2.93,,,,,
470,2011/07/23 20:00:00,11.819,2.93,,,,,
471,2011/07/23 21:00:00,11.819,2.93,,,,,
472,2011/07/23 22:00:00,11.431,2.93,,,,,
473,2011/07/23 23:00:00,11.528,2.93,,,,,
474,2011/07/24 00:00:00,12.013,2.93,,,,,
475,2011/07/24 01:00:00,12.304,2.93,,,,,
476,2011/07/24 02:00:00,12.304,2.93,,,,,
477,2011/07/24 03:00:00,12.594,2.93,,,,,
478,2011/07/24 04:00:00,12.207,2.93,,,,,
479,2011/07/24 04:02:31,,,0.2,,,,
480,2011/07/24 04:27:08,,,0.4,,,,
481,2011/07/24 05:00:00,11.819,2.93,,,,,
482,2011/07/24 05:04:08,,,0.6,,,,
483,2011/07/24 05:48:41,,,0.8,,,,
484,2011/07/24 06:00:00,11.139,2.93,,,,,
485,2011/07/24 06:07:18,,,1.0,,,,
486,2011/07/24 06:17:23,,,1.2,,,,
487,2011/07/24 06:37:56,,,1.4,,,,
488,2011/07/24 06:55:54,,,1.6,,,,
489,2011/07/24 07:00:00,10.553,2.93,,,,,
